date,block,price,delta
2025-06-18,22732061,1000000,0
2025-06-19,22739261,1000000,0
2025-06-20,22746461,1000000,0
2025-06-21,22753661,1000000,0
2025-06-22,22760861,1000000,0
2025-06-23,22768061,1000000,0
2025-06-24,22775261,1000000,0
2025-06-25,22782461,1000000,0
2025-06-26,22789661,1000000,0
2025-06-27,22796861,1000000,0
2025-06-28,22804061,1000000,0
2025-06-29,22811261,1000000,0
2025-06-30,22818461,1000000,0
2025-07-01,22825661,1000000,0
2025-07-02,22832861,1000000,0
2025-07-03,22840061,1000000,0
2025-07-04,22847261,1000000,0
2025-07-05,22854461,1000000,0
2025-07-06,22861661,1000000,0
2025-07-07,22868861,1000000,0
2025-07-08,22876061,1000000,0
2025-07-09,22883261,1000000,0
2025-07-10,22890461,1000000,0
2025-07-11,22897661,1000000,0
2025-07-12,22904861,1000000,0
2025-07-13,22912061,1000000,0
2025-07-14,22919261,1000000,0
2025-07-15,22926461,1000000,0
2025-07-16,22933661,1000000,0
2025-07-17,22940861,1000000,0
2025-07-18,22948061,1000000,0
2025-07-19,22955261,1000000,0
2025-07-20,22962461,1000000,0
2025-07-21,22969661,1000000,0
2025-07-22,22976861,1000000,0
2025-07-23,22984061,1000000,0
2025-07-24,22991261,1000000,0
2025-07-25,22998461,1000000,0
2025-07-26,23005661,1000000,0
2025-07-27,23012861,1000000,0
2025-07-28,23020061,1000000,0
2025-07-29,23027261,1000000,0
2025-07-30,23034461,1000000,0
2025-07-31,23041661,1005784,5784
2025-08-01,23048861,1005784,0
2025-08-02,23056061,1005784,0
2025-08-03,23063261,1005784,0
2025-08-04,23070461,1005784,0
2025-08-05,23077661,1005784,0
2025-08-06,23084861,1005784,0
2025-08-07,23092061,1005784,0
2025-08-08,23099261,1005784,0
2025-08-09,23106461,1005784,0
2025-08-10,23113661,1005784,0
2025-08-11,23120861,1005784,0
2025-08-12,23128061,1005784,0
2025-08-13,23135261,1005784,0
2025-08-14,23142461,1005784,0
2025-08-15,23149661,1005784,0
2025-08-16,23156861,1005784,0
2025-08-17,23164061,1005784,0
2025-08-18,23171261,1005784,0
2025-08-19,23178461,1005784,0
2025-08-20,23185661,1005784,0
2025-08-21,23192861,1005784,0
2025-08-22,23200061,1005784,0
2025-08-24,23207261,1005784,0
2025-08-25,23214461,1005784,0
2025-08-26,23221661,1005784,0
2025-08-27,23228861,1005784,0
2025-08-28,23236061,1005784,0
2025-08-29,23243261,1005784,0
2025-08-30,23250461,1005784,0
2025-08-31,23257661,1005784,0
2025-09-01,23264861,1005784,0
2025-09-02,23272061,1005784,0
2025-09-03,23279261,1005784,0
2025-09-04,23286461,1014729,8945
